"Year","Month","Beaufort","Hatteras","Wrightsville"
2011,1,6.56892237702587,5.76213974413047,7.38359825573217
2011,2,9.71682340647858,10.1132866090069,9.26471822541966
2011,3,13.277105444521,13,13.1661655172414
2011,4,18.0815968841285,17,17.1512503473187
2011,5,22.9510555331451,22.3094123974721,21.6887469749933
2011,6,26.7439966296868,26.196055586749,25.8914968376669
2011,7,28.1663619252487,27.4714036031191,27.8021379588544
2011,8,28.6490725806452,28.1330151902137,28.9776458665122
2011,9,25.723,25.6478037253267,27.0511199421965
2011,10,20.7046412300683,20.1453753162778,22.6937195296817
2011,11,15.6898705996939,15.8163259630093,17.6491264962795
2011,12,12.9950914470145,13.0730267581014,14.8223074851912
2012,1,10.8701051779935,11.3218644752795,12.8584040975873
2012,2,11.3023994252874,12.065775862069,13.0296695402299
2012,3,15.7470334992601,16.329486036839,15.6489136102903
2012,4,18.3532101167315,17.6751597666018,19.5464330413016
2012,5,23.0958837772397,22.6414660390047,23.5451621585251
2012,6,25.0170795306389,24.6941454596023,25.9141702257474
2012,7,28.4316356777149,27.3090639330995,27.7509538628061
2012,8,28.027895100069,26.9415296803653,27.8958997050147
2012,9,25.8148076121684,25.1453598221728,27.1224200278164
2012,10,21.7845688147451,21.5997846857758,23.7627640963531
2012,11,13.226788939836,13.0135692393424,16.3552624232272
2012,12,12.6990454423232,13.2944601317736,14.6060834454913
2013,1,10.4484946236559,11.0510055865922,12.2129032258065
2013,2,10.6147023809524,11.3724728301325,11.6068801191363
2013,3,11.3447261936876,12.0030669895077,12.3278655326043
2013,4,16.1258960822451,15.3731512325117,15.545230125523
2013,5,20.6691186394925,20.7230602278893,20.248301745168
2013,6,25.7019378223895,26.2054664621392,25.813679245283
2013,7,27.8208456773499,28.1390755726238,26.3881287182261
2013,8,26.8305593082951,29.0893759018759,26.6619659275284
2013,9,25.5354708582557,30.7372222222222,27.2800277777778
2013,10,21.2550753904146,30.7,23.1997445893265
2013,11,15.0647765363128,30.7,18.058051439754
2013,12,12.4048957632818,30.7,14.2507868190989
2014,1,8.83871663521165,30.7,12.2407056914966
2014,2,8.25926257650396,30.7,9.96590604026846
2014,3,10.3546407185629,18.9884956961334,10.858423180593
2014,4,16.2608363434287,16.1648979024865,15.5243467266086
2014,5,22.3851344086022,22.3590133082404,21.1042227003765
2014,6,26.1249200833912,25.5454343293954,26.4451272070068
2014,7,27.4703638814016,27.0524976437323,28.3484170820423
2014,8,26.8968934911243,26.5947679892401,28.2127842820616
2014,9,25.9669654110069,26.5400648166903,27.3864202715946
2014,10,21.9499320652174,21.8627206081998,24.2044939215954
2014,11,14.4616794961512,14.5524716426271,17.8184643769515
2014,12,11.6471269008209,12.1429120879121,14.1325350949628
2015,1,9.61901683501683,10.1568630118351,11.7247002724796
2015,2,6.46047966631908,6.93498053309374,10.5970337078652
2015,3,10.5037725303898,11.4103050752144,12.162781848929
2015,4,16.7159844335543,17.8371236959762,17.6452139965298
2015,5,21.7673469387755,21.8372073921971,23.2703007002609
2015,6,27.1706161137441,27.0365143494009,27.1251462803009
2015,7,27.5261298274445,27.2034761187902,27.4277010223819
2015,8,27.1966503932737,27.1831773165107,28.984857958407
2015,9,25.5848194444444,26.1851264943008,27.7671065425754
2015,10,21.146141282156,21.6421215380479,23.6209548352095
2015,11,17.5433166248956,18.4277406789093,20.1147292217736
2015,12,15.6486086602416,17.4020206129645,18.1909511136013
2016,1,9.98823449586104,10.8887952134893,14.0575118522151
2016,2,8.92346924074341,10.9869327186284,11.4680755914599
2016,3,13.9406386462882,15.7309234756513,15.5531002458345
2016,4,16.1031210636809,16.5848768886402,18.093998036741
2016,5,20.8966060606061,21.3743325653883,22.5129936649144
2016,6,24.8991907353146,25.3464574616457,26.7570532478394
2016,7,27.9340764761519,27.9142586580087,28.2603056532324
2016,8,28.1477874915938,27.9502084734365,28.54564399032
2016,9,25.6173119777159,26.4761937908952,28.1014636186228
2016,10,20.9076860841424,21.9562567421791,24.2438800324237
2016,11,15.0955993294216,16.9295391061453,18.9791981000279
2016,12,10.9362252458575,14.2482619240097,14.7817165184586
2017,1,9.51989768443726,12.1441841680129,12.6273277717976
2017,2,11.464855942377,13.9467961165049,14.0919086509377
2017,3,12.773034164859,13.8035227426103,14.6109075997813
2017,4,18.0130068752631,19.5314130283164,19.7818246110325
2017,5,21.7976351351351,22.5693720459149,23.5776534052596
2017,6,24.8085996110031,25.1619596942321,25.8155138888889
2017,7,26.5719124047878,26.4219260065288,26.7554875560996
2017,8,25.8696851453175,26.4061894510226,28.305529395937
2017,9,23.7381719683289,24.9749617896346,26.8441866925962
2017,10,21.8543049932524,22.5799704261325,24.3392594609311
2017,11,16.670264255911,16.9403364849833,18.6882786429366
2017,12,11.8131412414165,12.8008482563619,14.1637501682595
2018,1,7.18975155279503,7.58527068988794,8.66793140696732
2018,2,12.0353896587692,12.9063142218913,12.1596188207266
2018,3,11.5383559800888,10.8225645855759,13.3088096839274
2018,4,16.4918000835306,16.5525913338997,16.0327161353195
2018,5,23.1513159670671,22.4301742762495,21.4664642375169
2018,6,28.0257198497705,26.6431200334588,26.6147983310153
2018,7,28.4414338285403,27.3605055721663,29.2250883872722
2018,8,28.5513460733715,26.9589526796673,27.258423577793
2018,9,28.2238407821229,27.9092929573552,28.8437935447178
2018,10,23.6209051724138,22.884725023531,25.4163952225841
2018,11,17.1899582793843,17.0599162011173,19.7466954222902
2018,12,13.0045719844358,13.2338225114218,19.3882903000698
2019,1,11.5819849418207,11.0006566997345,20.3
2019,2,12.1316158900836,12.8007468259895,15.9412348743407
2019,3,14.2216869095816,13.6667116448522,13.5363243243243
2019,4,18.5046753738406,18.6713766469786,17.0665600667408
2019,5,24.692312040701,22.8914097212872,22.7732641229608
2019,6,27.1126862494679,25.2893357623318,25.6665727567263
2019,7,28.8694242132747,26.9342342342342,26.5953079584775
2019,8,28.8679956007699,27.2799213132546,28.3634866163349
2019,9,26.9276694915254,25.820779765232,27.3668005738881
2019,10,23.3541503046716,22.3870119305857,23.9331289179613
2019,11,16.1058222095995,16.1410048848569,16.9569908149876
2019,12,12.7260335652886,12.9379487179487,13.0653100775194
2020,1,12.4877195352607,12.3495419024522,12.6620203389831
2020,2,11.967012987013,12.2339481268012,12.002489146165
2020,3,14.7966644250168,14.4848521505376,14.1572850800484
2020,4,18.09725,17.1141805555556,18.0145865290754
2020,5,21.7589667698103,20.528185483871,21.3925467509754
2020,6,25.5772000556096,24.7064054467139,24.1465313499235
2020,7,29.4484372867476,28.4553554373039,27.8106168122271
2020,8,28.923766570999,27.6237054242383,27.6822079910901
2020,9,26.2506475421251,25.1238758179034,26.618353989695
2020,10,22.8116876097825,22.321848398865,23.027388190785
2020,11,18.528902830464,17.7628829880362,20.0838540145985
2020,12,12.8828940290479,12.5798413125336,14.8089979825151
2021,1,11.094526348808,11.0133626097867,11.3474435382685
2021,2,10.2403083247688,8.99054470709147,10.3266447368421
2021,3,14.2729989134372,13.3111734878667,13.0371309545372
2021,4,18.9005425709516,17.5436717663421,17.1840406289133
2021,5,22.0445117752376,20.9570976180642,21.2273202974387
2021,6,26.2728995401979,25.5114098634717,24.8273272017837
2021,7,28.4286098413552,27.5077977951062,27.3057004571121
2021,8,29.4287269794327,27.3534480440919,27.6526959795617
2021,9,26.8070833333333,25.8301111111111,26.027375
2021,10,23.4149636020491,22.8678838061626,24.045188512318
2021,11,15.8552083333333,15.7238042269188,17.1227948326156
2021,12,13.9638614662567,14.8802057947468,14.3679079214624
