"","Year","Month","Day","dailywtmp"
"1",2011,1,1,5.57196652719665
"2",2011,1,2,6.90625
"3",2011,1,3,8.16291666666667
"4",2011,1,4,7.85458333333333
"5",2011,1,5,7.78333333333333
"6",2011,1,6,7.78458333333333
"7",2011,1,7,7.7397489539749
"8",2011,1,8,7.71291666666667
"9",2011,1,9,6.765
"10",2011,1,10,5.58375
"11",2011,1,11,4.67833333333333
"12",2011,1,12,4.32577639751553
"13",2011,1,13,4.35375
"14",2011,1,14,4.31333333333333
"15",2011,1,15,4.59916666666667
"16",2011,1,16,5.12156862745098
"17",2011,1,17,5.94336283185841
"18",2011,1,18,6.63974358974359
"19",2011,1,19,7.29041666666667
"20",2011,1,20,7.75188284518828
"21",2011,1,21,8.35708333333333
"22",2011,1,22,7.58791666666667
"23",2011,1,23,5.03083333333333
"24",2011,1,24,5.09083333333333
"25",2011,1,25,5.12375
"26",2011,1,26,6.38916666666667
"27",2011,1,27,7.03375
"28",2011,1,28,7.02352941176471
"29",2011,1,29,7.25875
"30",2011,1,30,7.57
"31",2011,1,31,8.09291666666667
"32",2011,2,1,8.21213389121339
"33",2011,2,2,9.03839662447257
"34",2011,2,3,9.97208333333333
"35",2011,2,4,8.98410041841004
"36",2011,2,5,8.45791666666667
"37",2011,2,6,9.40208333333333
"38",2011,2,7,9.80791666666667
"39",2011,2,8,9.69875
"40",2011,2,9,9.57226890756302
"41",2011,2,10,8.90583333333333
"42",2011,2,11,7.69541666666667
"43",2011,2,12,6.99666666666667
"44",2011,2,13,7.44916666666667
"45",2011,2,14,8.39125
"46",2011,2,15,8.94525862068966
"47",2011,2,16,8.87041666666667
"48",2011,2,17,9.42170212765958
"49",2011,2,18,10.3975
"50",2011,2,19,11.1041666666667
"51",2011,2,20,10.9325
"52",2011,2,21,10.9270833333333
"53",2011,2,22,11.4683333333333
"54",2011,2,23,10.43375
"55",2011,2,24,10.2979079497908
"56",2011,2,25,11.1254166666667
"57",2011,2,26,11.5658333333333
"58",2011,2,27,11.5629166666667
"59",2011,2,28,12.3858333333333
"60",2011,3,1,13.1025210084034
"61",2011,3,2,12.3041666666667
"62",2011,3,3,12.2254166666667
"63",2011,3,4,11.3258333333333
"64",2011,3,5,11.70125
"65",2011,3,6,12.3958333333333
"66",2011,3,7,12.71125
"67",2011,3,8,12.5254166666667
"68",2011,3,9,12.5258333333333
"69",2011,3,10,12.9225
"70",2011,3,11,13.0808333333333
"71",2011,3,12,12.6945833333333
"72",2011,3,13,12.7845833333333
"73",2011,3,14,13.4308333333333
"74",2011,3,15,13.0733333333333
"75",2011,3,16,13.1795833333333
"76",2011,3,17,14.0241666666667
"77",2011,3,18,14.2783333333333
"78",2011,3,19,14.9091666666667
"79",2011,3,20,14.7933333333333
"80",2011,3,21,14.7266666666667
"81",2011,3,22,15.1879166666667
"82",2011,3,23,15.5779166666667
"83",2011,3,24,15.8554166666667
"84",2011,3,25,15.4047846889952
"85",2011,3,26,14.5477272727273
"86",2011,3,27,13.8858333333333
"87",2011,3,28,12.0958333333333
"88",2011,3,29,11.2020833333333
"89",2011,3,30,11.9583333333333
"90",2011,3,31,12.2370833333333
"91",2011,4,1,12.6033613445378
"92",2011,4,2,12.6654166666667
"93",2011,4,3,12.935
"94",2011,4,4,13.9570833333333
"95",2011,4,5,15.07375
"96",2011,4,6,15.0875
"97",2011,4,7,15.1641666666667
"98",2011,4,8,16.0041666666667
"99",2011,4,9,16.745
"100",2011,4,10,16.8345833333333
"101",2011,4,11,17.738125
"102",2011,4,12,18.35375
"103",2011,4,13,18.2679166666667
"104",2011,4,14,18.20625
"105",2011,4,15,18.2570833333333
"106",2011,4,16,18.43125
"107",2011,4,17,18.2583333333333
"108",2011,4,18,18.2095833333333
"109",2011,4,19,18.81875
"110",2011,4,20,19.53375
"111",2011,4,21,20.0528138528139
"112",2011,4,22,19.5416666666667
"113",2011,4,23,19.6575
"114",2011,4,24,20.5570833333333
"115",2011,4,25,21.3929166666667
"116",2011,4,26,21.91625
"117",2011,4,27,21.9779166666667
"118",2011,4,28,22.3595833333333
"119",2011,4,29,22.1141666666667
"120",2011,4,30,21.7658333333333
"121",2011,5,1,21.4298319327731
"122",2011,5,2,21.4204166666667
"123",2011,5,3,21.8433333333333
"124",2011,5,4,21.995
"125",2011,5,5,21.1958333333333
"126",2011,5,6,20.46375
"127",2011,5,7,20.5929166666667
"128",2011,5,8,20.9475
"129",2011,5,9,20.9166666666667
"130",2011,5,10,21.3641666666667
"131",2011,5,11,21.3233333333333
"132",2011,5,12,21.0875
"133",2011,5,13,21.2887029288703
"134",2011,5,14,21.8579166666667
"135",2011,5,15,22.2379166666667
"136",2011,5,16,22.37875
"137",2011,5,17,22.3429166666667
"138",2011,5,18,22.4879166666667
"139",2011,5,19,22.4858333333333
"140",2011,5,20,22.7141666666667
"141",2011,5,21,23.3775
"142",2011,5,22,24.09125
"143",2011,5,23,24.8975
"144",2011,5,24,25.18
"145",2011,5,25,25.53
"146",2011,5,26,25.7395833333333
"147",2011,5,27,25.6654166666667
"148",2011,5,28,25.7179166666667
"149",2011,5,29,25.91625
"150",2011,5,30,26.3629166666667
"151",2011,5,31,26.6104166666667
"152",2011,6,1,26.7890756302521
"153",2011,6,2,27.0233333333333
"154",2011,6,3,27.2425
"155",2011,6,4,26.4458333333333
"156",2011,6,5,26.0433333333333
"157",2011,6,6,25.9258333333333
"158",2011,6,7,26.2829166666667
"159",2011,6,8,26.6270833333333
"160",2011,6,9,26.6591666666667
"161",2011,6,10,26.4038626609442
"162",2011,6,11,26.22375
"163",2011,6,12,26.4504166666667
"164",2011,6,13,26.5345833333333
"165",2011,6,14,26.54875
"166",2011,6,15,26.4354166666667
"167",2011,6,16,26.0970833333333
"168",2011,6,17,25.9925287356322
"169",2011,6,18,26.4970833333333
"170",2011,6,19,26.7729166666667
"171",2011,6,20,26.9670833333333
"172",2011,6,21,26.8941666666667
"173",2011,6,22,26.7154166666667
"174",2011,6,23,27.0852941176471
"175",2011,6,24,27.26625
"176",2011,6,25,27.1045833333333
"177",2011,6,26,27.1341666666667
"178",2011,6,27,27.6425
"179",2011,6,28,27.7285714285714
"180",2011,6,29,27.4891666666667
"181",2011,6,30,27.0920833333333
"182",2011,7,1,27.6365546218487
"183",2011,7,2,28.0354166666667
"184",2011,7,3,28.0766666666667
"185",2011,7,4,27.53875
"186",2011,7,5,27.3033333333333
"187",2011,7,6,27.4908333333333
"188",2011,7,7,28.11625
"189",2011,7,8,28.12875
"190",2011,7,9,27.1383333333333
"191",2011,7,10,27.3945833333333
"192",2011,7,11,28.21625
"193",2011,7,12,28.3529166666667
"194",2011,7,13,28.565
"195",2011,7,14,28.8520833333333
"196",2011,7,15,27.5825
"197",2011,7,16,26.8854166666667
"198",2011,7,17,27.0329166666667
"199",2011,7,18,27.5616666666667
"200",2011,7,19,27.9433333333333
"201",2011,7,20,28.1145833333333
"202",2011,7,21,28.74
"203",2011,7,22,29.1945833333333
"204",2011,7,23,29.3204166666667
"205",2011,7,24,29.16625
"206",2011,7,25,28.8929166666667
"207",2011,7,26,28.2625
"208",2011,7,27,27.8970833333333
"209",2011,7,28,28.36625
"210",2011,7,29,28.5683333333333
"211",2011,7,30,29.0454166666667
"212",2011,7,31,29.7329166666667
"213",2011,8,1,29.6816666666667
"214",2011,8,2,29.6370833333333
"215",2011,8,3,29.7454166666667
"216",2011,8,4,29.7279166666667
"217",2011,8,5,29.8654166666667
"218",2011,8,6,29.9291666666667
"219",2011,8,7,29.6966666666667
"220",2011,8,8,29.7429166666667
"221",2011,8,9,29.8679166666667
"222",2011,8,10,29.5908333333333
"223",2011,8,11,29.7125
"224",2011,8,12,29.595
"225",2011,8,13,28.8283333333333
"226",2011,8,14,28.47875
"227",2011,8,15,28.6733333333333
"228",2011,8,16,28.6191666666667
"229",2011,8,17,28.8045833333333
"230",2011,8,18,28.7854166666667
"231",2011,8,19,28.6325
"232",2011,8,20,28.90125
"233",2011,8,21,29.3208333333333
"234",2011,8,22,28.97
"235",2011,8,23,28.3591666666667
"236",2011,8,24,27.6908333333333
"237",2011,8,25,27.7029166666667
"238",2011,8,26,28.06125
"239",2011,8,27,26.41
"240",2011,8,28,24.82125
